EGID	EDID	EGAID	DEINR	ESID	STRNAME	STRNAMK	STRINDX	STRSP	STROFFIZIEL	DPLZ4	DPLZZ	DPLZNAME	DKODE	DKODN	DOFFADR	DEXPDAT
1753854	0	100937628	3	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584452.482	1220565.652	1	2026-04-25
1753854	0	100937628	3	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584452.482	1220565.652	1	2026-04-25
1753855	0	100937629	5	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584425.604	1220549.762	1	2026-04-25
1753855	0	100937629	5	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584425.604	1220549.762	1	2026-04-25
1753856	0	100937630	7	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584400.557	1220535.548	1	2026-04-25
1753856	0	100937630	7	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584400.557	1220535.548	1	2026-04-25
1753857	0	101951766	18	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584595.968	1220683.648	1	2026-04-25
1753857	0	101951766	18	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584595.968	1220683.648	1	2026-04-25
1753858	0	100938901	20	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584613.876	1220696.193	1	2026-04-25
1753858	0	100938901	20	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584613.876	1220696.193	1	2026-04-25
1753859	0	101971787	22	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584638.441	1220704.262	1	2026-04-25
1753859	0	101971787	22	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584638.441	1220704.262	1	2026-04-25
1753860	0	101944604	24	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584647.497	1220715.275	1	2026-04-25
1753860	0	101944604	24	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584647.497	1220715.275	1	2026-04-25
1753861	0	100938902	29	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584653.072	1220757.944	1	2026-04-25
1753861	0	100938902	29	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584653.072	1220757.944	1	2026-04-25
1753862	0	100938903	30	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584692.756	1220761.387	1	2026-04-25
1753862	0	100938903	30	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584692.756	1220761.387	1	2026-04-25
1753863	0	100938904	31	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584684.358	1220804.039	1	2026-04-25
1753863	0	100938904	31	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584684.358	1220804.039	1	2026-04-25
1753864	0	101948697	32	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584709.43	1220769.737	1	2026-04-25
1753864	0	101948697	32	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584709.43	1220769.737	1	2026-04-25
1753865	0	100938905	33	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584701.799	1220810.476	1	2026-04-25
1753865	0	100938905	33	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584701.799	1220810.476	1	2026-04-25
1753866	0	100938906	35	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584707.709	1220825.809	1	2026-04-25
1753866	0	100938906	35	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584707.709	1220825.809	1	2026-04-25
1753867	0	101970769	37	10175983	Rue des Alpes	R. des Alpes	Alp	9903	1	2502	0	Biel/Bienne	2584713.768	1220849.961	1	2026-04-25
1753867	0	101970769	37	10175983	Alpenstrasse	Alpenstr.	Alp	9901	1	2502	0	Biel/Bienne	2584713.768	1220849.961	1	2026-04-25
