EGID	GDEKT	GGDENR	GGDENAME	EGRID	LGBKR	LPARZ	LPARZSX	LTYP	GEBNR	GBEZ	GKODE	GKODN	GKSCE	GSTAT	GKAT	GKLAS	GBAUJ	GBAUM	GBAUP	GABBJ	GAREA	GVOL	GVOLNORM	GVOLSCE	GASTW	GANZWHG	GAZZI	GSCHUTZR	GEBF	GWAERZH1	GENH1	GWAERSCEH1	GWAERDATH1	GWAERZH2	GENH2	GWAERSCEH2	GWAERDATH2	GWAERZW1	GENW1	GWAERSCEW1	GWAERDATW1	GWAERZW2	GENW2	GWAERSCEW2	GWAERDATW2	GEXPDAT
1753854	BE	371	Biel/Bienne	CH943546115953	0	7789					2584455.018	1220561.101	901	1004	1020	1122			8013		244				4	5	6			7430	7520	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753855	BE	371	Biel/Bienne	CH194611613506	0	7866					2584427.628	1220546.195	901	1004	1020	1122			8013		169				3	6				7432	7530	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753856	BE	371	Biel/Bienne	CH561246357773	0	8010					2584402.586	1220531.974	901	1004	1020	1122			8013		170				3	6				7432	7530	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753857	BE	371	Biel/Bienne	CH961246357239	0	3184					2584599.962	1220677.501	901	1004	1020	1110			8012		189				3	1				7432	7530	855	2025-09-16					7630	7530	860	2001-11-29					2026-04-25
1753858	BE	371	Biel/Bienne	CH173512724624	0	3185					2584617.604	1220691.195	901	1004	1020	1110			8012		138				3	1				7430	7520	855	2025-09-16					7630	7520	855	2025-09-16					2026-04-25
1753859	BE	371	Biel/Bienne	CH761846355856	0	3186					2584634.038	1220700.708	901	1004	1020	1121			8011		133				2	2				7430	7520	855	2025-09-16	7420	7570	858	2014-03-04	7630	7520	855	2025-09-16	7620	7570	858	2014-04-03	2026-04-25
1753860	BE	371	Biel/Bienne	CH221363463537	0	3187					2584649.979	1220711.303	901	1004	1020	1122			8011		171				4	3	1			7430	7530	855	2025-09-16					7630	7530	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753861	BE	371	Biel/Bienne	CH994612723580	0	3178					2584648.69	1220763.044	901	1004	1020	1122			8012		313				3	4				7434	7520	855	2025-09-16					7634	7520	864	2018-12-04	7600	7500	860	2001-11-29	2026-04-25
1753862	BE	371	Biel/Bienne	CH143546128802	0	3191					2584690.622	1220751.659	901	1004	1020	1110			8012		157				3	1				7432	7530	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753863	BE	371	Biel/Bienne	CH943546127237	0	3182					2584687.981	1220800.477	901	1004	1020	1110			8012		108				3	1				7430	7530	855	2025-09-16					7630	7530	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753864	BE	371	Biel/Bienne	CH361746355627	0	3192					2584705.628	1220766.066	901	1004	1020	1110			8012		120				4	1				7434	7520	855	2025-09-16					7630	7520	855	2018-11-30	7600	7500	860	2001-11-29	2026-04-25
1753865	BE	371	Biel/Bienne	CH143546183636	0	3252					2584699.39	1220814.855	901	1004	1020	1110			8011		84				3	1				7410	7598	870	2025-08-01					7610	7598	870	2025-08-01	7600	7500	860	2001-11-29	2026-04-25
1753866	BE	371	Biel/Bienne	CH521288463528	0	3253					2584705.121	1220821.448	901	1004	1020	1110			8011		85				3	1				7434	7520	855	2025-09-16					7634	7520	864	2018-12-03	7600	7500	860	2001-11-29	2026-04-25
1753867	BE	371	Biel/Bienne	CH713585461252	0	3254					2584710.051	1220843.461	901	1004	1020	1110			8012		140				3	1				7432	7530	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753868	BE	371	Biel/Bienne	CH158846123595	0	3193					2584717.082	1220780.266	901	1004	1020	1110			8012		147				3	1			277	7410	7501	864	2025-08-28					7610	7501	864	2025-08-28					2026-04-25
1753869	BE	371	Biel/Bienne	CH413506461190	0	3256					2584735.919	1220790.601	901	1004	1020	1110			8011		136				3	1				7410	7501	865	2025-10-29	7400	7500	869	2024-08-31	7610	7501	865	2025-10-29	7600	7500	860	2001-11-29	2026-04-25
1753870	BE	371	Biel/Bienne	CH934611356178	0	6882					2584759.155	1220804.057	901	1004	1020	1121			8013		249				3	2			441	7410	7501	864	2025-08-28					7610	7501	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753871	BE	371	Biel/Bienne	CH843546128063	0	7090					2584750.396	1220842.821	901	1004	1020	1110			8012		122				2	1				7430	7530	855	2025-09-16					7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753872	BE	371	Biel/Bienne	CH861246357273	0	3172					2584496.66	1220655.292	901	1004	1020	1122			8015		137				3	3			512	7430	7520	870	2025-08-22					7630	7520	870	2025-08-22	7600	7500	860	2001-11-29	2026-04-25
1753873	BE	371	Biel/Bienne	CH861246357273	0	3172					2584508.178	1220661.38	901	1004	1020	1122			8015		180				3	4			496	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753874	BE	371	Biel/Bienne	CH861246357273	0	3172					2584519.412	1220668.993	901	1004	1020	1122			8015		169				3	3			498	7435	7520	855	2025-09-16					7630	7520	864	2018-11-30	7600	7500	860	2001-11-29	2026-04-25
1753875	BE	371	Biel/Bienne	CH861246357273	0	3172					2584530.354	1220676.586	901	1004	1020	1122			8015		167				3	3			496	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753876	BE	371	Biel/Bienne	CH861246357273	0	3172					2584542.2	1220684.127	901	1004	1020	1122			8015		175				3	4			439	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753877	BE	371	Biel/Bienne	CH861246357273	0	3172					2584553.919	1220691.818	901	1004	1020	1122			8015		179				3	3			444	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753878	BE	371	Biel/Bienne	CH861246357273	0	3172					2584565.369	1220699.575	901	1004	1020	1122			8015		180				3	3			543	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753879	BE	371	Biel/Bienne	CH861246357273	0	3172					2584575.928	1220708.543	901	1004	1020	1122			8015		151				3	3	1		550	7430	7520	864	2025-08-28					7630	7520	864	2025-08-28	7600	7500	860	2001-11-29	2026-04-25
1753880	BE	371	Biel/Bienne	CH943546116151	0	6883					2584776.328	1220824.487	901	1004	1020	1110			8012		164				2	1				7432	7530	855	2025-09-16					7630	7530	860	2001-11-29					2026-04-25
1753881	BE	371	Biel/Bienne	CH301235884616	0	3223					2584777.369	1220937.706	901	1004	1020	1122	1924		8012		172				3	3				7430	7530	855	2025-09-16					7630	7530	855	2025-09-16	7600	7500	860	2001-11-29	2026-04-25
1753882	BE	371	Biel/Bienne	CH101135594604	0	8936					2584768.218	1220861.501	901	1004	1020	1122			8014		316				3	10				7434	7530	855	2025-09-16					7630	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753883	BE	371	Biel/Bienne	CH301935304601	0	3259					2584790.843	1220840.75	901	1004	1020	1122	1960		8013		302				4	8	2			7432	7530	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753884	BE	371	Biel/Bienne	CH294619253508	0	5845					2584786.367	1220945.755	901	1004	1020	1122			8012		132				3	3				7430	7520	855	2025-09-16	7400	7500	860	2001-11-29	7650	7560	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
1753885	BE	371	Biel/Bienne	CH180946351296	0	5733					2584799.263	1220958.063	901	1004	1020	1121			8012		112				2	2				7432	7520	855	2025-09-16					7632	7530	855	2021-02-03	7600	7500	860	2001-11-29	2026-04-25
1753886	BE	371	Biel/Bienne	CH743546128592	0	3260				Gymnasium Alpenstrasse	2584849.271	1220928.529	901	1004	1040	1263			8011		1555				6	1			6596	7432	7530	864	2025-08-28					7630	7520	860	2001-11-29	7600	7500	860	2001-11-29	2026-04-25
